Cell ID,Cell Latitude,Cell Longitude,Cell Altitude,Hex Point 1 Lat,Hex Point 1 Long,Hex Point 2 Lat,Hex Point 2 Long,Hex Point 3 Lat,Hex Point 3 Long,Hex Point 4 Lat,Hex Point 4 Long,Hex Point 5 Lat,Hex Point 5 Long,Hex Point 6 Lat,Hex Point 6 Long,PSS,GW Site
136,48.0359295,-124.8323497,0.0,48.243844,-124.927998,48.083269,-125.143997,47.875767,-125.047894,47.828388,-124.737312,47.988179,-124.52116,48.19613,-124.615737,2,19
137,47.41316283,-124.5490487,0.0,47.620801,-124.642881,47.461034,-124.85752,47.253796,-124.763237,47.205889,-124.455811,47.364893,-124.241031,47.572564,-124.333812,2,19
138,46.79115967,-124.2710968,0.0,46.998557,-124.363162,46.839556,-124.576451,46.632548,-124.483938,46.584119,-124.17961,46.742376,-123.966193,46.949802,-124.057227,2,19
139,46.16981867,-123.9983492,0.0,46.377007,-124.088696,46.218735,-124.300644,46.011924,-124.209852,45.962979,-123.908565,46.120526,-123.696502,46.327741,-123.785836,2,19
140,45.549045,-123.730665,300.0,45.756056,-123.819339,45.598476,-124.029955,45.391832,-123.940839,45.342375,-123.642539,45.499248,-123.431819,45.706283,-123.519499,2,19
141,44.92874533,-123.467909,516.0,45.13561,-123.554955,44.978686,-123.764249,44.772179,-123.676764,44.722215,-123.381396,44.878448,-123.17201,45.085334,-123.25808,2,19
142,44.30883167,-123.2099497,88.0,44.515579,-123.295411,44.359278,-123.503392,44.152878,-123.417496,44.102412,-123.125007,44.258039,-122.916945,44.464804,-123.001447,2,19
143,43.68921867,-122.956661,297.0,43.895876,-123.040579,43.740166,-123.247258,43.533847,-123.162908,43.482882,-122.873248,43.637934,-122.666498,43.844607,-122.749475,2,19
144,43.06982367,-122.707921,627.0,43.276418,-122.790336,43.121268,-122.995723,42.915003,-122.912879,42.863543,-122.625998,43.018051,-122.42055,43.224659,-122.50204,2,19
145,42.45056767,-122.4636108,1134.0,42.657126,-122.544562,42.502505,-122.748667,42.296268,-122.66729,42.244317,-122.383139,42.39831,-122.178982,42.60488,-122.259025,2,19
